nephilim heritage	"heritage:nephilim"	Nephilim
psi cantrips and amps	"feature:psi-cantrips-and-amps"	Psi Cantrips and Amps
chalice	"feature:chalice"	Chalice
metal gate	"feature:metal-gate"	Metal Gate
lesson of the frozen queen	"feature:lesson-of-the-frozen-queen"	Lesson of the Frozen Queen
eidolon defensive expertise	"feature:eidolon-defensive-expertise"	Eidolon Defensive Expertise
deific mastery	"feature:deific-mastery"	Deific Mastery
strategic strike	"feature:strategic-strike"	Strategic Strike
lesson of favors	"feature:lesson-of-favors"	Lesson of Favors
tempered reflexes	"feature:tempered-reflexes"	Tempered Reflexes
tactics	"feature:tactics"	Tactics
curse of creeping ashes	"feature:curse-of-creeping-ashes"	Curse of Creeping Ashes
speaker in sibilance	"feature:speaker-in-sibilance"	Speaker in Sibilance
bloodline	"feature:bloodline"	Bloodline
unbreakable expertise	"feature:unbreakable-expertise"	Unbreakable Expertise
burnished armor mastery	"feature:burnished-armor-mastery"	Burnished Armor Mastery
impossible alloy	"feature:impossible-alloy"	Impossible Alloy
advanced deed	"feature:advanced-deed"	Advanced Deed
ruffian	"feature:ruffian"	Ruffian
perpetual perfection	"feature:perpetual-perfection-toxicologist"	Perpetual Perfection (Toxicologist)
relentless reaction	"feature:relentless-reaction"	Relentless Reaction
alchemical expertise	"feature:alchemical-expertise"	Alchemical Expertise
initiate benefit	"feature:initiate-benefit-regalia"	Initiate Benefit (Regalia)
laughing shadow	"feature:laughing-shadow"	Laughing Shadow
mental wards	"feature:mental-wards"	Mental Wards
bloodline: aberrant	"feature:bloodline-aberrant"	Bloodline: Aberrant
miraculous spell	"feature:miraculous-spell"	Miraculous Spell
battle creed	"feature:battle-creed"	Battle Creed
bone	"feature:bone"	Bone
cascade bearers	"feature:cascade-bearers"	Cascade Bearers
wit	"feature:wit"	Wit
bard weapon expertise	"feature:bard-weapon-expertise"	Bard Weapon Expertise
unyielding resolve	"feature:unyielding-resolve"	Unyielding Resolve
alchemical weapon expertise	"feature:alchemical-weapon-expertise"	Alchemical Weapon Expertise
enigma	"feature:enigma"	Enigma
adept benefit	"feature:adept-benefit-bell"	Adept Benefit (Bell)
whisper of wings	"feature:whisper-of-wings"	Whisper of Wings
oracular clarity	"feature:oracular-clarity"	Oracular Clarity
advanced vials	"feature:advanced-vials-bomber"	Advanced Vials (Bomber)
battledancer	"feature:battledancer"	Battledancer
greater resolve	"feature:greater-resolve"	Greater Resolve
runelord's calling	"feat:runelords-calling"	Runelord's Calling
curse of inevitable rot	"feature:curse-of-inevitable-rot"	Curse of Inevitable Rot
bloodline: nymph	"feature:bloodline-nymph"	Bloodline: Nymph
phlogistonic regulator	"feature:phlogistonic-regulator"	Phlogistonic Regulator
reinforced ego	"feature:reinforced-ego"	Reinforced Ego
adamantine strikes	"feature:adamantine-strikes"	Adamantine Strikes
ranger expertise	"feature:ranger-expertise"	Ranger Expertise
elemental school	"feature:elemental-school"	Elemental School
the oscillating wave	"feature:the-oscillating-wave"	The Oscillating Wave
school of breathtaking influence	"feature:school-of-breathtaking-influence"	School of Breathtaking Influence
on the case	"feature:on-the-case"	On the Case
studious spells	"feature:studious-spells"	Studious Spells
initiate benefit	"feature:initiate-benefit-shield"	Initiate Benefit (Shield)
encroaching presence	"feature:encroaching-presence"	Encroaching Presence
twisting tree	"feature:twisting-tree"	Twisting Tree
advanced vials	"feature:advanced-vials-chirurgeon"	Advanced Vials (Chirurgeon)
thousand-league sandals	"feature:thousand-league-sandals"	Thousand-League Sandals
flurry	"feature:flurry"	Flurry
field discovery	"feature:field-discovery-toxicologist"	Field Discovery (Toxicologist)
magical fortitude	"feature:magical-fortitude"	Magical Fortitude
double brew	"feature:double-brew"	Double Brew
breakthrough innovation	"feature:breakthrough-innovation"	Breakthrough Innovation
subconscious mind	"feature:subconscious-mind"	Subconscious Mind
oracle spellcasting	"feature:oracle-spellcasting"	Oracle Spellcasting
majestic will	"feature:majestic-will"	Majestic Will
powerful alchemy	"feature:powerful-alchemy"	Powerful Alchemy
bomber	"feature:bomber"	Bomber
greater weapon specialization	"feature:greater-weapon-specialization-barbarian"	Greater Weapon Specialization (Barbarian)
heightened senses	"feature:heightened-senses"	Heightened Senses
bloodline: undead	"feature:bloodline-undead"	Bloodline: Undead
lesson of renewal	"feature:lesson-of-renewal"	Lesson of Renewal
aerodynamic construction	"feature:aerodynamic-construction"	Aerodynamic Construction
natural reflexes	"feature:natural-reflexes"	Natural Reflexes
arcane school	"feature:arcane-school"	Arcane School
incredible resistance	"feature:incredible-resistance"	Incredible Resistance
shield	"feature:shield"	Shield
mighty rage	"feature:mighty-rage"	Mighty Rage
experimental spellshaping	"feature:experimental-spellshaping"	Experimental Spellshaping
sovereignty epithet	"feature:sovereignty-epithet"	Sovereignty Epithet
vivacious speed	"feature:vivacious-speed"	Vivacious Speed
wraith deviant classification	"feature:wraith-deviant-classification"	Wraith Deviant Classification
master of mind and spirit	"feature:master-of-mind-and-spirit"	Master of Mind and Spirit
commander's banner	"feature:commanders-banner"	Commander's Banner
curse of the living death	"feature:curse-of-the-living-death"	Curse of the Living Death
energetic meltdown	"feature:energetic-meltdown"	Energetic Meltdown
field discovery	"feature:field-discovery-bomber"	Field Discovery (Bomber)
druidic order	"feature:druidic-order"	Druidic Order
wood gate	"feature:wood-gate"	Wood Gate
desecration	"feature:desecration"	Desecration
kinetic legend	"feature:kinetic-legend"	Kinetic Legend
the tangible dream	"feature:the-tangible-dream"	The Tangible Dream
combat flexibility	"feature:combat-flexibility"	Combat Flexibility
physical protections	"feature:physical-protections"	Physical Protections
perpetual potency	"feature:perpetual-potency-bomber"	Perpetual Potency (Bomber)
graceful mastery	"feature:graceful-mastery"	Graceful Mastery
monarch of the fey courts	"feature:monarch-of-the-fey-courts"	Monarch of the Fey Courts
kinetic quickness	"feature:kinetic-quickness"	Kinetic Quickness
aloof firmament	"feature:aloof-firmament"	Aloof Firmament
weapon specialization	"feature:weapon-specialization"	Weapon Specialization
unlimited esoterica	"feature:unlimited-esoterica"	Unlimited Esoterica
the resentment	"feature:the-resentment"	The Resentment
reveler in lost glee	"feature:reveler-in-lost-glee"	Reveler in Lost Glee
debilitating strike	"feature:debilitating-strike"	Debilitating Strike
weapon expertise	"feature:weapon-expertise"	Weapon Expertise
silence in snow	"feature:silence-in-snow"	Silence in Snow
scar of the survivor	"feature:scar-of-the-survivor"	Scar of the Survivor
gunslinger weapon mastery	"feature:gunslinger-weapon-mastery"	Gunslinger Weapon Mastery
hex spells	"feature:hex-spells"	Hex Spells
drilled reactions	"feature:drilled-reactions"	Drilled Reactions
mortality reforged	"feature:mortality-reforged"	Mortality Reforged
artisan's calling	"feat:artisans-calling"	Artisan's Calling
adept benefit	"feature:adept-benefit-mirror"	Adept Benefit (Mirror)
apparition attunement	"feature:apparition-attunement"	Apparition Attunement
muses	"feature:muses"	Muses
initiate benefit	"feature:initiate-benefit-amulet"	Initiate Benefit (Amulet)
greater spirit striking	"feature:greater-spirit-striking"	Greater Spirit Striking
initiate benefit	"feature:initiate-benefit-mirror"	Initiate Benefit (Mirror)
guardian expertise	"feature:guardian-expertise"	Guardian Expertise
sacred body	"feature:sacred-body"	Sacred Body
lantern	"feature:lantern"	Lantern
cleric spellcasting	"feature:cleric-spellcasting"	Cleric Spellcasting
greater eidolon specialization	"feature:greater-eidolon-specialization"	Greater Eidolon Specialization
gymnast	"feature:gymnast"	Gymnast
saga's calling	"feat:sagas-calling"	Saga's Calling
masterful hunter	"feature:masterful-hunter-precision"	Masterful Hunter (Precision)
greater rogue reflexes	"feature:greater-rogue-reflexes"	Greater Rogue Reflexes
indomitable will	"feature:indomitable-will"	Indomitable Will
paragon benefit	"feature:paragon-benefit-amulet"	Paragon Benefit (Amulet)
initial creed	"feature:initial-creed"	Initial Creed
expert runes	"feature:expert-runes"	Expert Runes
armor mastery	"feature:armor-mastery"	Armor Mastery
perpetual perfection	"feature:perpetual-perfection-mutagenist"	Perpetual Perfection (Mutagenist)
greed	"feature:greed"	Greed
thespian's calling	"feat:thespians-calling"	Thespian's Calling
guardian mastery	"feature:guardian-mastery"	Guardian Mastery
greater runic optimization	"feature:greater-runic-optimization"	Greater Runic Optimization
metal strikes	"feature:metal-strikes"	Metal Strikes
incredible movement	"feature:incredible-movement"	Incredible Movement
burnished armor expertise	"feature:burnished-armor-expertise"	Burnished Armor Expertise
cobyslarni	"feature:cobyslarni"	Cobyslarni
mystic strikes	"feature:mystic-strikes"	Mystic Strikes
second doctrine	"feature:second-doctrine-warpriest"	Second Doctrine (Warpriest)
cause	"feature:cause"	Cause
alertness	"feature:alertness"	Alertness
eldritch trickster	"feature:eldritch-trickster"	Eldritch Trickster
seneschal	"feature:seneschal"	Seneschal
perpetual infusions	"feature:perpetual-infusions-bomber"	Perpetual Infusions (Bomber)
bell	"feature:bell"	Bell
final gate	"feature:final-gate"	Final Gate
keen recollection	"feature:keen-recollection"	Keen Recollection
final doctrine	"feature:final-doctrine-cloistered-cleric"	Final Doctrine (Cloistered Cleric)
regalia	"feature:regalia"	Regalia
lesson of vengeance	"feature:lesson-of-vengeance"	Lesson of Vengeance
perpetual infusions	"feature:perpetual-infusions-mutagenist"	Perpetual Infusions (Mutagenist)
deity	"feature:deity-cleric"	Deity (Cleric)
double reflow	"feature:double-reflow"	Double Reflow
school of battle magic	"feature:school-of-battle-magic"	School of Battle Magic
brutality	"feature:brutality"	Brutality
wandering reverie	"feature:wandering-reverie"	Wandering Reverie
iniquity	"feature:iniquity"	Iniquity
blessing of the devoted	"feature:blessing-of-the-devoted"	Blessing of the Devoted
adept benefit	"feature:adept-benefit-regalia"	Adept Benefit (Regalia)
eye-catching spot	"feature:eye-catching-spot"	Eye-Catching Spot
alchemical alacrity	"feature:alchemical-alacrity"	Alchemical Alacrity
time	"feature:time"	Time
blessed armament	"feature:blessed-armament"	Blessed Armament
custodian of groves and gardens	"feature:custodian-of-groves-and-gardens"	Custodian of Groves and Gardens
school of nexian spaces	"feature:school-of-nexian-spaces"	School of Nexian Spaces
extreme curse	"feature:extreme-curse"	Extreme Curse
fortitude expertise	"feature:fortitude-expertise"	Fortitude Expertise
weapon expertise	"feature:weapon-expertise-swashbuckler"	Weapon Expertise (Swashbuckler)
weapon legend	"feature:weapon-legend"	Weapon Legend
offensive boost	"feature:offensive-boost"	Offensive Boost
medium armor expertise	"feature:medium-armor-expertise"	Medium Armor Expertise
liberation	"feature:liberation"	Liberation
hybrid study	"feature:hybrid-study"	Hybrid Study
the unbound step	"feature:the-unbound-step"	The Unbound Step
the inscribed one	"feature:the-inscribed-one"	The Inscribed One
deific weapon	"feature:deific-weapon"	Deific Weapon
envy	"feature:envy"	Envy
alchemist armor mastery	"feature:alchemist-armor-mastery-level-19"	Alchemist Armor Mastery (Level 19)
conflux spells	"feature:conflux-spells"	Conflux Spells
precognitive reflexes	"feature:precognitive-reflexes"	Precognitive Reflexes
lesson of elements	"feature:lesson-of-elements"	Lesson of Elements
wave order	"feature:wave-order"	Wave Order
will of the pupil	"feature:will-of-the-pupil"	Will of the Pupil
wizard weapon expertise	"feature:wizard-weapon-expertise"	Wizard Weapon Expertise
the proud	"feature:the-proud"	The Proud
pride	"feature:pride"	Pride
bravery	"feature:bravery"	Bravery
flames	"feature:flames"	Flames
third gate's threshold	"feature:third-gates-threshold"	Third Gate's Threshold
omnirange stabilizers	"feature:omnirange-stabilizers"	Omnirange Stabilizers
doomsayer's calling	"feat:doomsayers-calling"	Doomsayer's Calling
impostor in hidden places	"feature:impostor-in-hidden-places"	Impostor in Hidden Places
divine spark and ikons	"feature:divine-spark-and-ikons"	Divine Spark and Ikons
skin hard as horn	"feature:skin-hard-as-horn"	Skin Hard as Horn
instant manifestation	"feature:instant-manifestation"	Instant Manifestation
bloodline spells	"feature:bloodline-spells"	Bloodline Spells
confident evasion	"feature:confident-evasion"	Confident Evasion
automated impediments	"feature:automated-impediments"	Automated Impediments
troll deviant classification	"feature:troll-deviant-classification"	Troll Deviant Classification
the last ruler	"feature:the-last-ruler"	The Last Ruler
runelord	"feature:runelord"	Runelord
lesson of life	"feature:lesson-of-life"	Lesson of Life
legendary spellcaster	"feature:legendary-spellcaster"	Legendary Spellcaster
mortal harvest	"feature:mortal-harvest"	Mortal Harvest
obedience	"feature:obedience"	Obedience
the cunning	"feature:the-cunning"	The Cunning
perfected mind	"feature:perfected-mind"	Perfected Mind
dreamer's calling	"feat:dreamers-calling"	Dreamer's Calling
warrior of legend	"feature:warrior-of-legend"	Warrior of Legend
fortress of will	"feature:fortress-of-will"	Fortress of Will
unleash psyche	"feature:unleash-psyche"	Unleash Psyche
kinetic gate	"feature:kinetic-gate"	Kinetic Gate
paragon benefit	"feature:paragon-benefit-tome"	Paragon Benefit (Tome)
steward of stone and fire	"feature:steward-of-stone-and-fire"	Steward of Stone and Fire
evolution feat	"feature:evolution-feat"	Evolution Feat
bones	"feature:bones"	Bones
cultivation order	"feature:cultivation-order"	Cultivation Order
stalker in darkened boughs	"feature:stalker-in-darkened-boughs"	Stalker in Darkened Boughs
anger phantom eidolon	"feature:anger-phantom-eidolon"	Anger Phantom Eidolon
echoes of the scrolls	"feat:echoes-of-the-scrolls"	Echoes of the Scrolls
field discovery	"feature:field-discovery"	Field Discovery
fey eidolon	"feature:fey-eidolon"	Fey Eidolon
reconfigure	"feature:reconfigure"	Reconfigure
perception expertise	"feature:perception-expertise"	Perception Expertise
peerless inventor	"feature:peerless-inventor"	Peerless Inventor
greater field discovery	"feature:greater-field-discovery-chirurgeon"	Greater Field Discovery (Chirurgeon)
perpetual potency	"feature:perpetual-potency-toxicologist"	Perpetual Potency (Toxicologist)
twofold will	"feature:twofold-will"	Twofold Will
graceful legend	"feature:graceful-legend"	Graceful Legend
fencer	"feature:fencer"	Fencer
masterful hunter	"feature:masterful-hunter-flurry"	Masterful Hunter (Flurry)
emerald boughs	"feature:emerald-boughs"	Emerald Boughs
lesson of the flock	"feature:lesson-of-the-flock"	Lesson of the Flock
unfailing bow	"feature:unfailing-bow"	Unfailing Bow
opportune riposte	"feature:opportune-riposte"	Opportune Riposte
dragon eidolon	"feature:dragon-eidolon"	Dragon Eidolon
giant instinct	"feature:giant-instinct"	Giant Instinct
braggart	"feature:braggart"	Braggart
school of rooted wisdom	"feature:school-of-rooted-wisdom"	School of Rooted Wisdom
lesson of protection	"feature:lesson-of-protection"	Lesson of Protection
patron	"feature:patron"	Patron
battlefield intuition	"feature:battlefield-intuition"	Battlefield Intuition
spellstrike	"feature:spellstrike"	Spellstrike
deadly strike	"feature:deadly-strike"	Deadly Strike
walls of will	"feature:walls-of-will"	Walls of Will
greater mysterious resolve	"feature:greater-mysterious-resolve"	Greater Mysterious Resolve
staff nexus	"feature:staff-nexus"	Staff Nexus
enhanced damage	"feature:enhanced-damage"	Enhanced Damage
perfected form	"feature:perfected-form"	Perfected Form
exemplary finisher	"feature:exemplary-finisher"	Exemplary Finisher
improved evasion	"feature:improved-evasion"	Improved Evasion
school of mentalism	"feature:school-of-mentalism"	School of Mentalism
starshot	"feature:starshot"	Starshot
gunslinger's way	"feature:gunslingers-way"	Gunslinger's Way
curse of inclement headwinds	"feature:curse-of-inclement-headwinds"	Curse of Inclement Headwinds
lesson of the shark	"feature:lesson-of-the-shark"	Lesson of the Shark
guardian's calling	"feat:guardians-calling"	Guardian's Calling
barrow's edge	"feature:barrows-edge"	Barrow's Edge
sage's calling	"feat:sages-calling"	Sage's Calling
perpetual infusions	"feature:perpetual-infusions-toxicologist"	Perpetual Infusions (Toxicologist)
bookkeeper's calling	"feat:bookkeepers-calling"	Bookkeeper's Calling
hero's defiance	"feature:heros-defiance"	Hero's Defiance
panache	"feature:panache"	Panache
initiate benefit	"feature:initiate-benefit-bell"	Initiate Benefit (Bell)
vanguard of roaring waters	"feature:vanguard-of-roaring-waters"	Vanguard of Roaring Waters
arcane thesis	"feature:arcane-thesis"	Arcane Thesis
greater field discovery	"feature:greater-field-discovery"	Greater Field Discovery
perpetual potency	"feature:perpetual-potency"	Perpetual Potency
evasion	"feature:evasion"	Evasion
initiate benefit	"feature:initiate-benefit-weapon"	Initiate Benefit (Weapon)
hands of the wildling	"feature:hands-of-the-wildling"	Hands of the Wildling
root epithet	"feature:root-epithet"	Root Epithet
lust	"feature:lust"	Lust
personal barrier	"feature:personal-barrier"	Personal Barrier
paragon benefit	"feature:paragon-benefit-bell"	Paragon Benefit (Bell)
the deft	"feature:the-deft"	The Deft
water gate	"feature:water-gate"	Water Gate
tome	"feature:tome"	Tome
warrior	"feature:warrior"	Warrior
bands of imprisonment	"feature:bands-of-imprisonment"	Bands of Imprisonment
final doctrine	"feature:final-doctrine-warpriest"	Final Doctrine (Warpriest)
second gate's threshold	"feature:second-gates-threshold"	Second Gate's Threshold
