xenometric android heritage	"heritage:xenometric-android"	Xenometric Android
overkill	"feat:overkill"	Overkill
electromagnetic whiskers	"feat:electromagnetic-whiskers"	Electromagnetic Whiskers
mutanter goblin	"feat:mutanter-goblin"	Mutanter Goblin
pressure plates	"feat:pressure-plates"	Pressure Plates
hellknight dedication	"feat:hellknight-dedication"	Hellknight Dedication
cosmic alignment	"feat:cosmic-alignment"	Cosmic Alignment
copaxi scent	"feat:copaxi-scent"	Copaxi Scent
caterwaul concertina	"feat:caterwaul-concertina"	Caterwaul Concertina
visceral warmask	"feat:visceral-warmask"	Visceral Warmask
brainwave scanner	"feat:brainwave-scanner"	Brainwave Scanner
advanced warp	"feat:advanced-warp"	Advanced Warp
inner wellspring	"feat:inner-wellspring"	Inner Wellspring
persistent quantum field	"feat:persistent-quantum-field"	Persistent Quantum Field
extra hands	"feat:extra-hands"	Extra Hands
punitive strike	"feat:punitive-strike"	Punitive Strike
moodscales	"feat:moodscales"	Moodscales
kill shot	"feat:kill-shot"	Kill Shot
vlaka lore	"feat:vlaka-lore"	Vlaka Lore
broad shoulders	"feat:broad-shoulders"	Broad Shoulders
basic warp spell	"feat:basic-warp-spell"	Basic Warp Spell
kip up	"feat:kip-up"	Kip Up
shobhad ferocity	"feat:shobhad-ferocity"	Shobhad Ferocity
sonic sync	"feat:sonic-sync"	Sonic Sync
spelunker	"feat:spelunker"	Spelunker
wild soulfeel	"feat:wild-soulfeel"	Wild Soulfeel
crab walk	"feat:crab-walk"	Crab Walk
grasping tendrils	"feat:grasping-tendrils"	Grasping Tendrils
super sensilla	"feat:super-sensilla"	Super Sensilla
stubborn endurance	"feat:stubborn-endurance"	Stubborn Endurance
peek	"feat:peek"	Peek
pirate's parry	"feat:pirates-parry"	Pirate's Parry
frilled vesk glide	"feat:frilled-vesk-glide"	Frilled Vesk Glide
group coercion	"feat:group-coercion"	Group Coercion
spryflight	"feat:spryflight"	Spryflight
masterful imitation	"feat:masterful-imitation"	Masterful Imitation
beastie blood	"feat:beastie-blood"	Beastie Blood
sky-save	"feat:sky-save"	Sky-Save
radiant bond	"feat:radiant-bond"	Radiant Bond
death blossom	"feat:death-blossom"	Death Blossom
grappling theft	"feat:grappling-theft"	Grappling Theft
fast synergy	"feat:fast-synergy"	Fast Synergy
accelerated step	"feat:accelerated-step"	Accelerated Step
push it	"feat:push-it"	Push It
heed the hive mind	"feat:heed-the-hive-mind"	Heed the Hive Mind
copaxi adaptability	"feat:copaxi-adaptability"	Copaxi Adaptability
defy gravity	"feat:defy-gravity"	Defy Gravity
line 'em up	"feat:line-em-up"	Line 'em Up
cellular adaptation	"feat:cellular-adaptation"	Cellular Adaptation
arcane recall	"feat:arcane-recall"	Arcane Recall
master mystic spellcasting	"feat:master-mystic-spellcasting"	Master Mystic Spellcasting
agglomerate leshy	"feat:agglomerate-leshy"	Agglomerate Leshy
electrolocation mastery	"feat:electrolocation-mastery"	Electrolocation Mastery
prismatic display	"feat:prismatic-display"	Prismatic Display
gooey engulf	"feat:gooey-engulf"	Gooey Engulf
draconic influence	"feat:draconic-influence"	Draconic Influence
big stretch	"feat:big-stretch"	Big Stretch
nimbus ward	"feat:nimbus-ward"	Nimbus Ward
oddity identification	"feat:oddity-identification"	Oddity Identification
dual aim	"feat:dual-aim"	Dual Aim
crew member	"feat:crew-member"	Crew Member
solar shield	"feat:solar-shield"	Solar Shield
system overload	"feat:system-overload"	System Overload
called to another world	"feat:called-to-another-world"	Called to Another World
ride the river between	"feat:ride-the-river-between"	Ride the River Between
seedpod lure	"feat:seedpod-lure"	Seedpod Lure
armor ace	"feat:armor-ace"	Armor Ace
admixture breath	"feat:admixture-breath"	Admixture Breath
erudite offense	"feat:erudite-offense"	Erudite Offense
apply atraxid venom	"feat:apply-atraxid-venom"	Apply Atraxid Venom
subtle theft	"feat:subtle-theft"	Subtle Theft
hey, buddy	"feat:hey-buddy"	Hey, Buddy
distracting gesture	"feat:distracting-gesture"	Distracting Gesture
goolife	"feat:goolife"	Goolife
channel the world's core	"feat:channel-the-worlds-core"	Channel the World's Core
nanite scream	"feat:nanite-scream"	Nanite Scream
shake it off	"feat:shake-it-off"	Shake it Off
ready for anything	"feat:ready-for-anything"	Ready for Anything
assistant regional manager	"feat:assistant-regional-manager"	Assistant Regional Manager
sturdy vine	"feat:sturdy-vine"	Sturdy Vine
inner peace	"feat:inner-peace"	Inner Peace
grandmother's lore	"feat:grandmothers-lore"	Grandmother's Lore
unified theory	"feat:unified-theory"	Unified Theory
scramble tech	"feat:scramble-tech"	Scramble Tech
history buff	"feat:history-buff"	History Buff
energy deflection	"feat:energy-deflection"	Energy Deflection
magnetic sweeper	"feat:magnetic-sweeper"	Magnetic Sweeper
fluid anatomy	"feat:fluid-anatomy"	Fluid Anatomy
intensify shell	"feat:intensify-shell"	Intensify Shell
canny acumen	"feat:canny-acumen"	Canny Acumen
xenoarchaeologist dedication	"feat:xenoarchaeologist-dedication"	Xenoarchaeologist Dedication
divine bond	"feat:divine-bond"	Divine Bond
hypertelepathy	"feat:hypertelepathy"	Hypertelepathy
born singing	"feat:born-singing"	Born Singing
spore shot	"feat:spore-shot"	Spore Shot
distant blur	"feat:distant-blur"	Distant Blur
xenogourmand	"feat:xenogourmand"	Xenogourmand
blood born	"feat:blood-born"	Blood Born
aggressively ostentatious	"feat:aggressively-ostentatious"	Aggressively Ostentatious
size up	"feat:size-up"	Size Up
nuke form	"feat:nuke-form"	Nuke Form
grace of the ages	"feat:grace-of-the-ages"	Grace of the Ages
crushing fists	"feat:crushing-fists"	Crushing Fists
regional manager	"feat:regional-manager"	Regional Manager
ultimate spacefarer	"feat:ultimate-spacefarer"	Ultimate Spacefarer
dance!	"feat:dance"	Dance!
crash aficionado	"feat:crash-aficionado"	Crash Aficionado
coat in bile	"feat:coat-in-bile"	Coat in Bile
sync up	"feat:sync-up"	Sync Up
predatory	"feat:predatory"	Predatory
compact predator	"feat:compact-predator"	Compact Predator
multi-stemmed	"feat:multi-stemmed"	Multi-Stemmed
sense life	"feat:sense-life"	Sense Life
phreaker	"feat:phreaker"	Phreaker
adopted ancestry	"feat:adopted-ancestry"	Adopted Ancestry
practiced scion	"feat:practiced-scion"	Practiced Scion
lowered legs	"feat:lowered-legs"	Lowered Legs
sturdy scrap	"feat:sturdy-scrap"	Sturdy Scrap
spirit's protection	"feat:spirits-protection"	Spirit's Protection
efficient motion	"feat:efficient-motion"	Efficient Motion
twitching muscles	"feat:twitching-muscles"	Twitching Muscles
synthetic speech	"feat:synthetic-speech"	Synthetic Speech
early adopter	"feat:early-adopter"	Early Adopter
kasathan weapon familiarity	"feat:kasathan-weapon-familiarity"	Kasathan Weapon Familiarity
dorjo darkvision	"feat:dorjo-darkvision"	Dorjo Darkvision
pickpocket	"feat:pickpocket"	Pickpocket
let's jam	"feat:lets-jam"	Let's Jam
ancestral weapon familiarity	"feat:ancestral-weapon-familiarity-astrazoan"	Ancestral Weapon Familiarity (Astrazoan)
heavy shell	"feat:heavy-shell"	Heavy Shell
basic quantum field	"feat:basic-quantum-field"	Basic Quantum Field
practiced leader	"feat:practiced-leader"	Practiced Leader
shield block	"feat:shield-block"	Shield Block
overly helpful	"feat:overly-helpful"	Overly Helpful
rip, tear	"feat:rip-tear"	Rip, Tear
quad juggle	"feat:quad-juggle"	Quad Juggle
death's advance	"feat:deaths-advance"	Death's Advance
desert resilience	"feat:desert-resilience"	Desert Resilience
maratan athlete	"feat:maratan-athlete"	Maratan Athlete
dishonored contrarian	"feat:dishonored-contrarian"	Dishonored Contrarian
horns of the hunter	"feat:horns-of-the-hunter"	Horns of the Hunter
resonant weapon	"feat:resonant-weapon"	Resonant Weapon
shifting plates	"feat:shifting-plates"	Shifting Plates
pulse light	"feat:pulse-light"	Pulse Light
floating flight	"feat:floating-flight"	Floating Flight
statistical anomaly	"feat:statistical-anomaly"	Statistical Anomaly
anchoring impacts	"feat:anchoring-impacts"	Anchoring Impacts
careful strike	"feat:careful-strike"	Careful Strike
my friends are my power!	"feat:my-friends-are-my-power"	My Friends Are My Power!
secret-keeper	"feat:secret-keeper"	Secret-Keeper
metaphysical understanding	"feat:metaphysical-understanding"	Metaphysical Understanding
legacy of betrayal	"feat:legacy-of-betrayal"	Legacy of Betrayal
maximize profits	"feat:maximize-profits"	Maximize Profits
borrow spell	"feat:borrow-spell"	Borrow Spell
inheritor of star's glory	"feat:inheritor-of-stars-glory"	Inheritor of Star's Glory
seedpod surveillance	"feat:seedpod-surveillance"	Seedpod Surveillance
practical theologian	"feat:practical-theologian"	Practical Theologian
undead slayer	"feat:undead-slayer"	Undead Slayer
loosen skin	"feat:loosen-skin"	Loosen Skin
cyber storage	"feat:cyber-storage"	Cyber Storage
vitality network	"feat:vitality-network"	Vitality Network
ancestral pest	"feat:ancestral-pest"	Ancestral Pest
planetary reincarnation	"feat:planetary-reincarnation"	Planetary Reincarnation
prehensile tail	"feat:prehensile-tail"	Prehensile Tail
singularity	"feat:singularity"	Singularity
endlessly adaptive	"feat:endlessly-adaptive"	Endlessly Adaptive
starfinder field agent dedication	"feat:starfinder-field-agent-dedication"	Starfinder Field Agent Dedication
mazer's endurance	"feat:mazers-endurance"	Mazer's Endurance
monster crafting	"feat:monster-crafting"	Monster Crafting
quick install	"feat:quick-install"	Quick Install
shedding flurry	"feat:shedding-flurry"	Shedding Flurry
magical savior	"feat:magical-savior"	Magical Savior
in another life	"feat:in-another-life"	In Another Life
drift-touched	"feat:drift-touched"	Drift-Touched
tactical bond	"feat:tactical-bond"	Tactical Bond
enter rivener state	"feat:enter-rivener-state"	Enter Rivener State
remote access	"feat:remote-access"	Remote Access
burrowing specialist	"feat:burrowing-specialist"	Burrowing Specialist
sense abnormalities	"feat:sense-abnormalities"	Sense Abnormalities
double tap	"feat:double-tap"	Double Tap
schooled in secrets	"feat:schooled-in-secrets"	Schooled in Secrets
virtuosic performer	"feat:virtuosic-performer"	Virtuosic Performer
prescient consumable	"feat:prescient-consumable"	Prescient Consumable
incredible improvisation	"feat:incredible-improvisation"	Incredible Improvisation
i can't tell if you're flirting	"feat:i-cant-tell-if-youre-flirting"	I Can't Tell If You're Flirting
thoughtful insight	"feat:thoughtful-insight"	Thoughtful Insight
nanite communication	"feat:nanite-communication"	Nanite Communication
genetic pioneer self-perfection	"feat:genetic-pioneer-self-perfection"	Genetic Pioneer Self-Perfection
stash steal	"feat:stash-steal"	Stash Steal
communal crafting	"feat:communal-crafting"	Communal Crafting
primal ooze	"feat:primal-ooze"	Primal Ooze
energy shielding	"feat:energy-shielding"	Energy Shielding
crowd surfing	"feat:crowd-surfing"	Crowd Surfing
cognitive agility	"feat:cognitive-agility"	Cognitive Agility
predator's eye	"feat:predators-eye"	Predator's Eye
divine-etched shell	"feat:divine-etched-shell"	Divine-Etched Shell
cooperative nature	"feat:cooperative-nature"	Cooperative Nature
fungal strider	"feat:fungal-strider"	Fungal Strider
ancestral paragon	"feat:ancestral-paragon"	Ancestral Paragon
shell insurance	"feat:shell-insurance"	Shell Insurance
veteran traveler	"feat:veteran-traveler"	Veteran Traveler
learned from the tunnels	"feat:learned-from-the-tunnels"	Learned From the Tunnels
situational awareness	"feat:situational-awareness"	Situational Awareness
code talker	"feat:code-talker"	Code Talker
living submersible mount	"feat:living-submersible-mount"	Living Submersible Mount
brainsplain	"feat:brainsplain"	Brainsplain
combine	"feat:combine"	Combine
all-grabber stance	"feat:all-grabber-stance"	All-Grabber Stance
ysoki lore	"feat:ysoki-lore"	Ysoki Lore
alluring pheromones	"feat:alluring-pheromones"	Alluring Pheromones
battle analysis	"feat:battle-analysis"	Battle Analysis
prey's attendance	"feat:preys-attendance"	Prey's Attendance
persistent protection	"feat:persistent-protection"	Persistent Protection
double or nothing	"feat:double-or-nothing"	Double Or Nothing
tech crafting	"feat:tech-crafting"	Tech Crafting
death eternal	"feat:death-eternal"	Death Eternal
forgiving anatomy	"feat:forgiving-anatomy"	Forgiving Anatomy
technosymbiote	"feat:technosymbiote"	Technosymbiote
scare to death	"feat:scare-to-death"	Scare to Death
unconventional weaponry	"feat:unconventional-weaponry"	Unconventional Weaponry
vestigial restraint	"feat:vestigial-restraint"	Vestigial Restraint
demoralizing critical	"feat:demoralizing-critical"	Demoralizing Critical
anchoring strike	"feat:anchoring-strike"	Anchoring Strike
hypnotic melody	"feat:hypnotic-melody"	Hypnotic Melody
gravity tether	"feat:gravity-tether"	Gravity Tether
nimble tail	"feat:nimble-tail"	Nimble Tail
you can't teach speed	"feat:you-cant-teach-speed"	You Can't Teach Speed
star swimmer	"feat:star-swimmer"	Star Swimmer
protect the pack	"feat:protect-the-pack"	Protect the Pack
solar barrage	"feat:solar-barrage"	Solar Barrage
quick swap	"feat:quick-swap"	Quick Swap
fonqon climber	"feat:fonqon-climber"	Fonqon Climber
personal trinket	"feat:personal-trinket"	Personal Trinket
legendary linguist	"feat:legendary-linguist"	Legendary Linguist
legendary sneak	"feat:legendary-sneak"	Legendary Sneak
slip from sight	"feat:slip-from-sight"	Slip From Sight
brave new reality	"feat:brave-new-reality"	Brave New Reality
terrifying negotiator	"feat:terrifying-negotiator"	Terrifying Negotiator
tetrodotoxic beak	"feat:tetrodotoxic-beak"	Tetrodotoxic Beak
heart of planets lost	"feat:heart-of-planets-lost"	Heart of Planets Lost
true leader	"feat:true-leader"	True Leader
explosive deflection	"feat:explosive-deflection"	Explosive Deflection
synchronized initiative	"feat:synchronized-initiative"	Synchronized Initiative
run hot	"feat:run-hot"	Run Hot
spectrasoul	"feat:spectrasoul"	Spectrasoul
eager assistant	"feat:eager-assistant"	Eager Assistant
powerful limbs	"feat:powerful-limbs"	Powerful Limbs
the universal language	"feat:the-universal-language"	The Universal Language
stalks in the back of your head	"feat:stalks-in-the-back-of-your-head"	Stalks in the Back of Your Head
empathetic healing	"feat:empathetic-healing"	Empathetic Healing
chosen family	"feat:chosen-family"	Chosen Family
flexible augmentations	"feat:flexible-augmentations"	Flexible Augmentations
unquenchable breath	"feat:unquenchable-breath"	Unquenchable Breath
better split!	"feat:better-split"	Better Split!
do you know who i work for?	"feat:do-you-know-who-i-work-for"	Do You Know Who I Work For?
get in there!	"feat:get-in-there"	Get in There!
dermal spikes	"feat:dermal-spikes"	Dermal Spikes
not as bad as it looked	"feat:not-as-bad-as-it-looked"	Not as Bad as it Looked
memory hole	"feat:memory-hole"	Memory Hole
burst of strength	"feat:burst-of-strength"	Burst of Strength
saw it coming	"feat:saw-it-coming"	Saw it Coming
train animal	"feat:train-animal"	Train Animal
homebrewed core	"feat:homebrewed-core"	Homebrewed Core
ancestral physiology	"feat:ancestral-physiology"	Ancestral Physiology
elven caution	"feat:elven-caution"	Elven Caution
manifold masters	"feat:manifold-masters"	Manifold Masters
independent minds	"feat:independent-minds"	Independent Minds
spellsurge ammo	"feat:spellsurge-ammo"	Spellsurge Ammo
relentless endurance	"feat:relentless-endurance"	Relentless Endurance
skittermander lore	"feat:skittermander-lore"	Skittermander Lore
battle saint	"feat:battle-saint"	Battle Saint
zoomies	"feat:zoomies"	Zoomies
superhero landing	"feat:superhero-landing"	Superhero Landing
destructive dash	"feat:destructive-dash"	Destructive Dash
roller coaster	"feat:roller-coaster"	Roller Coaster
spirit-blessed protections	"feat:spirit-blessed-protections"	Spirit-Blessed Protections
technomagical scrapper	"feat:technomagical-scrapper"	Technomagical Scrapper
nanite tool	"feat:nanite-tool"	Nanite Tool
quantum entanglement	"feat:quantum-entanglement"	Quantum Entanglement
role repertoire	"feat:role-repertoire"	Role Repertoire
robust core	"feat:robust-core"	Robust Core
adopted talents	"feat:adopted-talents"	Adopted Talents
calm before the storm	"feat:calm-before-the-storm"	Calm Before the Storm
without a trace	"feat:without-a-trace"	Without a Trace
secondary directive	"feat:secondary-directive"	Secondary Directive
refresh cirrisensors	"feat:refresh-cirrisensors"	Refresh Cirrisensors
studious engineer	"feat:studious-engineer"	Studious Engineer
reunite	"feat:reunite"	Reunite
wriggling contortionist	"feat:wriggling-contortionist"	Wriggling Contortionist
your lucky number	"feat:your-lucky-number"	Your Lucky Number
zero-g training	"feat:zero-g-training"	Zero-G Training
bucking escape	"feat:bucking-escape"	Bucking Escape
don't you die on me	"feat:dont-you-die-on-me"	Don't You Die on Me
carrion feeder	"feat:carrion-feeder"	Carrion Feeder
grazing shot	"feat:grazing-shot"	Grazing Shot
overwhelming assault	"feat:overwhelming-assault"	Overwhelming Assault
combat reflexes	"feat:combat-reflexes"	Combat Reflexes
hug master	"feat:hug-master"	Hug Master
armpit pocket	"feat:armpit-pocket"	Armpit Pocket
vent crawler	"feat:vent-crawler"	Vent Crawler
grandmother's curse	"feat:grandmothers-curse"	Grandmother's Curse
adhering acid	"feat:adhering-acid"	Adhering Acid
step between	"feat:step-between"	Step Between
plentiful bile	"feat:plentiful-bile"	Plentiful Bile
master hunter	"feat:master-hunter"	Master Hunter
spot healing	"feat:spot-healing"	Spot Healing
reach spell	"feat:reach-spell"	Reach Spell
data bond	"feat:data-bond"	Data Bond
fortune favors the bold	"feat:fortune-favors-the-bold"	Fortune Favors the Bold
undead understanding	"feat:undead-understanding"	Undead Understanding
mental interference	"feat:mental-interference"	Mental Interference
prototype electroencephalon	"feat:prototype-electroencephalon"	Prototype Electroencephalon
called to artistry	"feat:called-to-artistry"	Called to Artistry
solar nimbus	"feat:solar-nimbus"	Solar Nimbus
upright rest	"feat:upright-rest"	Upright Rest
quiet allies	"feat:quiet-allies"	Quiet Allies
hyper	"feat:hyper"	Hyper
pick on someone my size	"feat:pick-on-someone-my-size"	Pick On Someone My Size
aerial dash	"feat:aerial-dash"	Aerial Dash
hybrid technique	"feat:hybrid-technique"	Hybrid Technique
cannonball	"feat:cannonball"	Cannonball
eager combatant	"feat:eager-combatant"	Eager Combatant
hidden hands	"feat:hidden-hands"	Hidden Hands
eternal devotion	"feat:eternal-devotion"	Eternal Devotion
sarcesian weapon familiarity	"feat:sarcesian-weapon-familiarity"	Sarcesian Weapon Familiarity
perfectly-attuned	"feat:perfectly-attuned"	Perfectly-Attuned
in the face of danger	"feat:in-the-face-of-danger"	In the Face of Danger
memories of valor	"feat:memories-of-valor"	Memories of Valor
luminous wings	"feat:luminous-wings"	Luminous Wings
hull hop	"feat:hull-hop"	Hull Hop
transgnomanist	"feat:transgnomanist"	Transgnomanist
serum sponge	"feat:serum-sponge"	Serum Sponge
improved elebrian magic	"feat:improved-elebrian-magic"	Improved Elebrian Magic
feelings brain	"feat:feelings-brain"	Feelings Brain
homegrown skills	"feat:homegrown-skills"	Homegrown Skills
leaping expertise	"feat:leaping-expertise"	Leaping Expertise
techentu	"feat:techentu"	Techentu
memories of before	"feat:memories-of-before"	Memories of Before
creature speech	"feat:creature-speech"	Creature Speech
drift hop	"feat:drift-hop"	Drift Hop
basic distortion	"feat:basic-distortion"	Basic Distortion
ancestral weapon familiarity	"feat:ancestral-weapon-familiarity"	Ancestral Weapon Familiarity
shore scuttle	"feat:shore-scuttle"	Shore Scuttle
protection of the past	"feat:protection-of-the-past"	Protection of the Past
synthetic physiology	"feat:synthetic-physiology"	Synthetic Physiology
swampy retch	"feat:swampy-retch"	Swampy Retch
collector	"feat:collector"	Collector
nuar lore	"feat:nuar-lore"	Nuar Lore
suspend animation	"feat:suspend-animation"	Suspend Animation
imperious nature	"feat:imperious-nature"	Imperious Nature
newborn incarnate	"feat:newborn-incarnate"	Newborn Incarnate
terrifying bravado	"feat:terrifying-bravado"	Terrifying Bravado
propelled polyp print	"feat:propelled-polyp-print"	Propelled Polyp Print
khizar lore	"feat:khizar-lore"	Khizar Lore
stellar shield collapse	"feat:stellar-shield-collapse"	Stellar Shield Collapse
experienced translator	"feat:experienced-translator"	Experienced Translator
reroot	"feat:reroot"	Reroot
talented tracker	"feat:talented-tracker"	Talented Tracker
boundless brachiator	"feat:boundless-brachiator"	Boundless Brachiator
borai lore	"feat:borai-lore"	Borai Lore
magic fortification	"feat:magic-fortification"	Magic Fortification
unusual treatment	"feat:unusual-treatment"	Unusual Treatment
paragon mageslayer	"feat:paragon-mageslayer"	Paragon Mageslayer
this you, queen?	"feat:this-you-queen"	This You, Queen?
partitioned focus	"feat:partitioned-focus"	Partitioned Focus
twisted dark zone	"feat:twisted-dark-zone"	Twisted Dark Zone
solar rampart	"feat:solar-rampart"	Solar Rampart
mobile aim	"feat:mobile-aim"	Mobile Aim
thunderous slam	"feat:thunderous-slam"	Thunderous Slam
mount	"feat:mount"	Mount
void inversion	"feat:void-inversion"	Void Inversion
dwarvatonic weight	"feat:dwarvatonic-weight"	Dwarvatonic Weight
soul furnace	"feat:soul-furnace"	Soul Furnace
scope sight	"feat:scope-sight"	Scope Sight
nutritionist	"feat:nutritionist"	Nutritionist
size of the ancients	"feat:size-of-the-ancients"	Size of the Ancients
plated deflection	"feat:plated-deflection"	Plated Deflection
urchin	"feat:urchin"	Urchin
read mental dossier	"feat:read-mental-dossier"	Read Mental Dossier
what's mine is yours	"feat:whats-mine-is-yours"	What's Mine is Yours
danger zone	"feat:danger-zone"	Danger Zone
plentiful cirrisensors	"feat:plentiful-cirrisensors"	Plentiful Cirrisensors
smashing!	"feat:smashing"	Smashing!
floral shifter	"feat:floral-shifter"	Floral Shifter
psychic scholar	"feat:psychic-scholar"	Psychic Scholar
bloody wounds	"feat:bloody-wounds"	Bloody Wounds
hush	"feat:hush"	Hush
secrets in the dark	"feat:secrets-in-the-dark"	Secrets In The Dark
tentacle whip	"feat:tentacle-whip"	Tentacle Whip
corona	"feat:corona"	Corona
shy	"feat:shy"	Shy
electromagnetic flight	"feat:electromagnetic-flight"	Electromagnetic Flight
deific obedience	"feat:deific-obedience"	Deific Obedience
center your emotions	"feat:center-your-emotions"	Center Your Emotions
brutal anatomy	"feat:brutal-anatomy"	Brutal Anatomy
embrace the magic	"feat:embrace-the-magic"	Embrace the Magic
hunter's leap	"feat:hunters-leap"	Hunter's Leap
augmented body	"feat:augmented-body"	Augmented Body
veil of ink	"feat:veil-of-ink"	Veil of Ink
battleblessed	"feat:battleblessed"	Battleblessed
leg brain	"feat:leg-brain"	Leg Brain
harmonic shielding	"feat:harmonic-shielding"	Harmonic Shielding
infinite magic	"feat:infinite-magic"	Infinite Magic
unleash hell!	"feat:unleash-hell"	Unleash Hell!
universal translation	"feat:universal-translation"	Universal Translation
experienced professional	"feat:experienced-professional"	Experienced Professional
psychic interrogation	"feat:psychic-interrogation"	Psychic Interrogation
quick break	"feat:quick-break"	Quick Break
nimble runner	"feat:nimble-runner"	Nimble Runner
lucky like a squox	"feat:lucky-like-a-squox"	Lucky Like A Squox
debris zone	"feat:debris-zone"	Debris Zone
cave legs	"feat:cave-legs"	Cave Legs
big bang	"feat:big-bang"	Big Bang
linnorm bite	"feat:linnorm-bite"	Linnorm Bite
intimidating athlete	"feat:intimidating-athlete"	Intimidating Athlete
revitalized by the drift	"feat:revitalized-by-the-drift"	Revitalized by the Drift
necrotized	"feat:necrotized"	Necrotized
impenetrable mind	"feat:impenetrable-mind"	Impenetrable Mind
multi-legged copaxi	"feat:multi-legged-copaxi"	Multi-Legged Copaxi
another day	"feat:another-day"	Another Day
termorsense	"feat:termorsense"	Termorsense
center thoughts	"feat:center-thoughts"	Center Thoughts
stand aside	"feat:stand-aside"	Stand Aside
social chameleon	"feat:social-chameleon"	Social Chameleon
focus pheromones	"feat:focus-pheromones"	Focus Pheromones
punishing salvo	"feat:punishing-salvo"	Punishing Salvo
explosive engineering	"feat:explosive-engineering"	Explosive Engineering
scurry to safety	"feat:scurry-to-safety"	Scurry to Safety
rascal-light	"feat:rascal-light"	Rascal-Light
scrupulous stalker	"feat:scrupulous-stalker"	Scrupulous Stalker
purge stomach	"feat:purge-stomach"	Purge Stomach
experienced smuggler	"feat:experienced-smuggler"	Experienced Smuggler
return to roots	"feat:return-to-roots"	Return to Roots
congregant's acumen	"feat:congregants-acumen"	Congregant's Acumen
improved undead senses	"feat:improved-undead-senses"	Improved Undead Senses
total know-it-all	"feat:total-know-it-all"	Total Know-It-All
grandmother's favorite	"feat:grandmothers-favorite"	Grandmother's Favorite
guilt trip	"feat:guilt-trip"	Guilt Trip
suction cups	"feat:suction-cups"	Suction Cups
basic flight	"feat:basic-flight"	Basic Flight
creative combat	"feat:creative-combat"	Creative Combat
wormhole warren	"feat:wormhole-warren"	Wormhole Warren
survey wildlife	"feat:survey-wildlife"	Survey Wildlife
executive aide	"feat:executive-aide"	Executive Aide
skirmish strike	"feat:skirmish-strike"	Skirmish Strike
dive for cover	"feat:dive-for-cover"	Dive for Cover
consult the files	"feat:consult-the-files"	Consult the Files
brutal blows	"feat:brutal-blows"	Brutal Blows
scrapper's barricade	"feat:scrappers-barricade"	Scrapper's Barricade
not falling for that	"feat:not-falling-for-that"	Not Falling for That
calcifying enzymes	"feat:calcifying-enzymes"	Calcifying Enzymes
stone-faced inscrutability	"feat:stone-faced-inscrutability"	Stone-Faced Inscrutability
undying defiance	"feat:undying-defiance"	Undying Defiance
skitter wrastle	"feat:skitter-wrastle"	Skitter Wrastle
primal polyps	"feat:primal-polyps"	Primal Polyps
dwarven zero-g familiarity	"feat:dwarven-zero-g-familiarity"	Dwarven Zero-G Familiarity
widest field of view	"feat:widest-field-of-view-phasorq"	Widest Field of View (Phasorq)
shambling corpsefolk	"feat:shambling-corpsefolk"	Shambling Corpsefolk
phishing expertise	"feat:phishing-expertise"	Phishing Expertise
necrogourmand	"feat:necrogourmand"	Necrogourmand
vault guard	"feat:vault-guard"	Vault Guard
vicious breath	"feat:vicious-breath"	Vicious Breath
one with the void	"feat:one-with-the-void"	One with the Void
stinking slime	"feat:stinking-slime"	Stinking Slime
immense gravity	"feat:immense-gravity"	Immense Gravity
tenth life	"feat:tenth-life"	Tenth Life
spellsail	"feat:spellsail"	Spellsail
toppling shot	"feat:toppling-shot"	Toppling Shot
solid stance	"feat:solid-stance"	Solid Stance
expanded solar reserves	"feat:expanded-solar-reserves"	Expanded Solar Reserves
homing mote	"feat:homing-mote"	Homing Mote
syncretic epiphany	"feat:syncretic-epiphany"	Syncretic Epiphany
trick magic item	"feat:trick-magic-item"	Trick Magic Item
queen's magic	"feat:queens-magic"	Queen's Magic
bounce back	"feat:bounce-back"	Bounce Back
specialized operative	"feat:specialized-operative"	Specialized Operative
smiling false	"feat:smiling-false"	Smiling False
electrotether ball	"feat:electrotether-ball"	Electrotether Ball
atraxid lore	"feat:atraxid-lore"	Atraxid Lore
adaptable membranes	"feat:adaptable-membranes"	Adaptable Membranes
menacing laughter	"feat:menacing-laughter"	Menacing Laughter
cornered fury	"feat:cornered-fury"	Cornered Fury
generic dictionary	"feat:generic-dictionary"	Generic Dictionary
clinging flare	"feat:clinging-flare"	Clinging Flare
from hope	"feat:from-hope"	From Hope
internal compartment	"feat:internal-compartment"	Internal Compartment
experienced tracker	"feat:experienced-tracker"	Experienced Tracker
recite gap history	"feat:recite-gap-history"	Recite Gap History
memory shield	"feat:memory-shield"	Memory Shield
large body, small tunnel	"feat:large-body-small-tunnel"	Large Body, Small Tunnel
that'll show 'em	"feat:thatll-show-em"	That'll Show 'Em
thorny	"feat:thorny"	Thorny
invigorating trinket	"feat:invigorating-trinket"	Invigorating Trinket
concentrated breath	"feat:concentrated-breath"	Concentrated Breath
overproduction	"feat:overproduction"	Overproduction
craft anything	"feat:craft-anything"	Craft Anything
vulkari item hack	"feat:vulkari-item-hack"	Vulkari Item Hack
adaptive dermis	"feat:adaptive-dermis"	Adaptive Dermis
quickened casting	"feat:quickened-casting"	Quickened Casting
trash tunneler	"feat:trash-tunneler"	Trash Tunneler
unforgiving fury	"feat:unforgiving-fury"	Unforgiving Fury
quantum negation	"feat:quantum-negation"	Quantum Negation
running shot	"feat:running-shot"	Running Shot
